"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Mar., 2022 (provisional)"	"2022/03"	65	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022 (provisional)"	"2022/04"	36	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022 (provisional)"	"2022/05"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022 (provisional)"	"2022/06"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022 (provisional)"	"2022/07"	52	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022 (provisional)"	"2022/08"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022 (provisional)"	"2022/09"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022 (provisional)"	"2022/10"	54	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022 (provisional)"	"2022/11"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022 (provisional)"	"2022/12"	37	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023 (provisional)"	"2023/01"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023 (provisional)"	"2023/02"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023 (provisional)"	"2023/03"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2023 (provisional)"	"2023/05"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2023 (provisional)"	"2023/06"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2023 (provisional)"	"2023/07"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2023 (provisional)"	"2023/08"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2023 (provisional and partial)"	"2023/09"	0	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	430	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	364	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	402	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	382	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	358	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	412	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	420	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	430	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	428	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	392	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	352	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	410	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	437	Not Applicable	Not Applicable
